经度,纬度,业务时间,卡片记录编码,线路名称,经纬度,上车站点,实际站点
114.06130900000001,22.651321,2014-06-09 08:06,280680582,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,290929580,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,292236595,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,324751191,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,325905061,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,328186768,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,329273961,68路,"114.061309,22.651321",13,36
114.06130900000001,22.651321,2014-06-09 08:06,364008266,68路,"114.061309,22.651321",13,36
113.94062,22.560032999999997,2014-06-09 08:07,323503136,68路,"113.94062,22.560033",17,2
114.035453,22.524816,2014-06-09 08:26,329645057,68路,"114.035453,22.524816",5,11
114.042045,22.639526,2014-06-09 08:31,292036589,68路,"114.042045,22.639526",2,31
114.042045,22.639526,2014-06-09 08:31,297575273,68路,"114.042045,22.639526",2,31
114.0317,22.637315,2014-06-09 08:37,80314131,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,292736245,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,293349294,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,293811129,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,298114966,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,320770463,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,322430097,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,327382440,68路,"114.0317,22.637315",2,31
114.0317,22.637315,2014-06-09 08:37,360802823,68路,"114.0317,22.637315",2,31
113.99686399999999,22.529382000000002,2014-06-09 08:44,20817241,68路,"113.996864,22.529382",18,7
113.99686399999999,22.529382000000002,2014-06-09 08:44,80002928,68路,"113.996864,22.529382",18,7
114.03511,22.622260999999998,2014-06-09 08:44,280786325,68路,"114.03511,22.622261",10,30
113.99686399999999,22.529382000000002,2014-06-09 08:44,291270262,68路,"113.996864,22.529382",18,7
113.99686399999999,22.529382000000002,2014-06-09 08:44,294563892,68路,"113.996864,22.529382",18,7
114.03511,22.622260999999998,2014-06-09 08:44,294862943,68路,"114.03511,22.622261",10,30
114.03511,22.622260999999998,2014-06-09 08:44,323146354,68路,"114.03511,22.622261",10,30
114.03511,22.622260999999998,2014-06-09 08:44,326623510,68路,"114.03511,22.622261",10,30
113.99686399999999,22.529382000000002,2014-06-09 08:44,327451531,68路,"113.996864,22.529382",18,7
114.03511,22.622260999999998,2014-06-09 08:44,329772759,68路,"114.03511,22.622261",10,30
114.03898600000001,22.641265,2014-06-09 08:45,360732274,68路,"114.038986,22.641265",2,31
114.040481,22.610065,2014-06-09 08:51,293781361,68路,"114.040481,22.610065",19,28
